"month","day","dep_time","dep_delay","arr_time","arr_delay","carrier","tailnum","flight","dest","air_time","distance","hour","minute","carrier_name","dest_name"
1,1,1,96,235,70,"AS","N508AS",145,"ANC",194,1542,0,1,"Alaska Airlines Inc.","Ted Stevens Anchorage Intl"
1,1,8,13,548,-4,"UA","N37422",1609,"IAH",201,1825,0,8,"United Air Lines Inc.","George Bush Intercontinental"
1,1,28,-2,800,-23,"US","N547UW",466,"CLT",251,2282,0,28,"US Airways Inc.","Charlotte Douglas Intl"
1,1,526,-4,1148,15,"UA","N813UA",229,"IAH",217,1825,5,26,"United Air Lines Inc.","George Bush Intercontinental"
1,1,541,1,911,4,"UA","N36476",1569,"DEN",130,991,5,41,"United Air Lines Inc.","Denver Intl"
1,1,549,24,907,12,"US","N548UW",649,"PHX",122,1009,5,49,"US Airways Inc.","Phoenix Sky Harbor Intl"
1,1,559,-1,916,-9,"F9","N210FR",796,"DEN",125,991,5,59,"Frontier Airlines Inc.","Denver Intl"
1,1,602,-3,1204,7,"UA","N77295",1573,"ORD",203,1739,6,2,"United Air Lines Inc.","Chicago Ohare Intl"
1,1,606,6,746,3,"AS","N796AS",406,"SJC",87,569,6,6,"Alaska Airlines Inc.","Norman Y Mineta San Jose Intl"
1,1,618,-2,1135,-30,"AA","N4XMAA",1650,"DFW",184,1616,6,18,"American Airlines Inc.","Dallas Fort Worth Intl"
1,1,622,2,1412,-19,"UA","N36472",1021,"EWR",270,2434,6,22,"United Air Lines Inc.","Newark Liberty Intl"
1,1,630,-10,834,-14,"OO","N219AG",3456,"BUR",105,817,6,30,"SkyWest Airlines Inc.","Bob Hope"
1,1,637,-8,858,-7,"AS","N408AS",560,"LAX",108,834,6,37,"Alaska Airlines Inc.","Los Angeles Intl"
1,1,637,-3,854,-6,"AS","N588AS",572,"SAN",120,933,6,37,"Alaska Airlines Inc.","San Diego Intl"
1,1,638,-2,1003,-5,"AS","N508AS",646,"PHX",125,1009,6,38,"Alaska Airlines Inc.","Phoenix Sky Harbor Intl"
1,1,638,10,1408,-4,"UA","N526UA",250,"IAD",253,2327,6,38,"United Air Lines Inc.","Washington Dulles Intl"
1,1,639,4,1219,-11,"WN","N8308K",401,"MDW",207,1751,6,39,"Southwest Airlines Co.","Chicago Midway Intl"
1,1,648,-12,910,-11,"AS","N611AS",582,"SNA",122,859,6,48,"Alaska Airlines Inc.","John Wayne Arpt Orange Co"
1,1,654,-6,1047,-33,"AS","N586AS",833,"HNL",327,2603,6,54,"Alaska Airlines Inc.","Honolulu Intl"
1,1,655,-5,1210,-7,"DL","N963DN",2090,"MSP",168,1426,6,55,"Delta Air Lines Inc.","Minneapolis St Paul Intl"
1,1,656,-4,1242,-28,"AA","N3KMAA",2218,"ORD",200,1739,6,56,"American Airlines Inc.","Chicago Ohare Intl"
1,1,656,-4,853,8,"VX","N523VA",805,"SFO",82,550,6,56,"Virgin America","San Francisco Intl"
1,1,700,0,844,-1,"UA","N479UA",519,"SFO",80,550,7,0,"United Air Lines Inc.","San Francisco Intl"
1,1,704,-1,910,-9,"OO","N223AG",3460,"ONT",106,838,7,4,"SkyWest Airlines Inc.","Ontario Intl"
1,1,705,0,931,9,"B6","N627JB",1121,"LGB",113,846,7,5,"JetBlue Airways","Long Beach"
1,1,708,-2,1453,-20,"DL","N3772H",2258,"JFK",267,2454,7,8,"Delta Air Lines Inc.","John F Kennedy Intl"
1,1,710,-5,906,-21,"AS","N309AS",244,"SFO",82,550,7,10,"Alaska Airlines Inc.","San Francisco Intl"
1,1,715,-5,1055,-47,"AS","N536AS",855,"KOA",326,2607,7,15,"Alaska Airlines Inc.","Kona Intl At Keahole"
1,1,722,-3,933,3,"WN","N407WN",947,"LAS",101,763,7,22,"Southwest Airlines Co.","Mc Carran Intl"
1,1,754,-6,1011,-14,"AS","N706AS",568,"LAX",111,834,7,54,"Alaska Airlines Inc.","Los Angeles Intl"
1,1,801,-4,932,-18,"WN","N447WN",48,"OAK",78,543,8,1,"Southwest Airlines Co.","Metropolitan Oakland Intl"
1,1,809,-6,1326,-5,"DL","N951DN",1588,"MSP",170,1426,8,9,"Delta Air Lines Inc.","Minneapolis St Paul Intl"
1,1,819,14,1343,-7,"AA","N4XPAA",1220,"DFW",178,1616,8,19,"American Airlines Inc.","Dallas Fort Worth Intl"
1,1,827,2,1414,-16,"UA","N38446",1510,"IAH",210,1825,8,27,"United Air Lines Inc.","George Bush Intercontinental"
1,1,840,-5,1226,16,"WN","N940WN",644,"DEN",125,991,8,40,"Southwest Airlines Co.","Denver Intl"
1,1,843,-2,1159,-14,"US","N664AW",685,"PHX",122,1009,8,43,"US Airways Inc.","Phoenix Sky Harbor Intl"
1,1,846,-4,1114,-16,"WN","N772SW",223,"SLC",77,630,8,46,"Southwest Airlines Co.","Salt Lake City Intl"
1,1,919,-6,1719,-16,"AS","N535AS",30,"BOS",276,2537,9,19,"Alaska Airlines Inc.","General Edward Lawrence Logan Intl"
1,1,925,-2,1106,-17,"OO","N918SW",6307,"SFO",85,550,9,25,"SkyWest Airlines Inc.","San Francisco Intl"
1,1,944,-6,1727,-8,"AS","N548AS",752,"ATL",252,2172,9,44,"Alaska Airlines Inc.","Hartsfield Jackson Atlanta Intl"
1,1,946,-4,1220,-38,"AS","N793AS",131,"ANC",197,1542,9,46,"Alaska Airlines Inc.","Ted Stevens Anchorage Intl"
1,1,949,-1,1108,-12,"WN","N701GS",3572,"SMF",65,479,9,49,"Southwest Airlines Co.","Sacramento Intl"
1,1,951,-4,1716,-24,"AS","N583AS",764,"DCA",252,2350,9,51,"Alaska Airlines Inc.","Ronald Reagan Washington Natl"
1,1,1005,-5,1608,2,"AS","N619AS",686,"ORD",222,1739,10,5,"Alaska Airlines Inc.","Chicago Ohare Intl"
1,1,1011,-4,1535,-29,"AS","N585AS",658,"DFW",178,1616,10,11,"Alaska Airlines Inc.","Dallas Fort Worth Intl"
1,1,1014,-1,1357,-23,"HA","N386HA",25,"HNL",324,2603,10,14,"Hawaiian Airlines Inc.","Honolulu Intl"
1,1,1021,-9,1347,-10,"AS","N318AS",640,"PHX",126,1009,10,21,"Alaska Airlines Inc.","Phoenix Sky Harbor Intl"
1,1,1023,-7,1407,-38,"AS","N589AS",803,"LIH",331,2631,10,23,"Alaska Airlines Inc.","Lihue"
1,1,1027,-2,1242,-16,"OO","N982SW",6518,"LAX",115,834,10,27,"SkyWest Airlines Inc.","Los Angeles Intl"
1,1,1036,81,1408,63,"OO","N218AG",3466,"TUS",134,1119,10,36,"SkyWest Airlines Inc.","Tucson Intl"
1,1,1043,-8,1226,-13,"OO","N937SW",5243,"SFO",87,550,10,43,"SkyWest Airlines Inc.","San Francisco Intl"
1,1,1045,40,1303,40,"AS","N614AS",580,"SNA",123,859,10,45,"Alaska Airlines Inc.","John Wayne Arpt Orange Co"
1,1,1052,2,1603,-2,"WN","N756SA",899,"MCI",174,1482,10,52,"Southwest Airlines Co.","Kansas City Intl"
1,1,1054,94,1807,84,"DL","N377DA",1502,"ATL",237,2172,10,54,"Delta Air Lines Inc.","Hartsfield Jackson Atlanta Intl"
1,1,1055,-5,1312,-1,"AS","N796AS",564,"LAX",115,834,10,55,"Alaska Airlines Inc.","Los Angeles Intl"
1,1,1059,44,1325,32,"DL","N335NB",2189,"SLC",75,630,10,59,"Delta Air Lines Inc.","Salt Lake City Intl"
1,1,1102,2,1425,-5,"WN","N697SW",1537,"PHX",127,1009,11,2,"Southwest Airlines Co.","Phoenix Sky Harbor Intl"
1,1,1113,-2,1427,-8,"WN","N293WN",3042,"DEN",121,991,11,13,"Southwest Airlines Co.","Denver Intl"
1,1,1117,37,1436,36,"F9","N221FR",788,"DEN",121,991,11,17,"Frontier Airlines Inc.","Denver Intl"
1,1,1123,-2,1442,-12,"US","N803AW",634,"PHX",121,1009,11,23,"US Airways Inc.","Phoenix Sky Harbor Intl"
1,1,1130,0,1324,-11,"WN","N726SW",4444,"LAS",103,763,11,30,"Southwest Airlines Co.","Mc Carran Intl"
1,1,1132,-8,1839,0,"DL","N374DA",2123,"DTW",219,1953,11,32,"Delta Air Lines Inc.","Detroit Metro Wayne Co"
1,1,1147,17,1415,24,"AS","N565AS",578,"SAN",119,933,11,47,"Alaska Airlines Inc.","San Diego Intl"
1,1,1148,-2,1411,1,"OO","N625CA",4469,"LAX",116,834,11,48,"SkyWest Airlines Inc.","Los Angeles Intl"
1,1,1150,4,1400,-1,"B6","N789JB",1521,"LGB",115,846,11,50,"JetBlue Airways","Long Beach"
1,1,1156,1,1315,-5,"WN","N774SW",361,"SMF",67,479,11,56,"Southwest Airlines Co.","Sacramento Intl"
1,1,1156,0,1235,-3,"OO","N237SW",5325,"RDM",27,116,11,56,"SkyWest Airlines Inc.","Roberts Fld"
1,1,1158,16,1241,19,"OO","N295SW",5438,"EUG",27,106,11,58,"SkyWest Airlines Inc.","Mahlon Sweet Fld"
1,1,1201,-4,1340,-10,"VX","N523VA",817,"SFO",85,550,12,1,"Virgin America","San Francisco Intl"
1,1,1201,-1,1816,11,"UA","N424UA",277,"IAH",212,1825,12,1,"United Air Lines Inc.","George Bush Intercontinental"
1,1,1209,-6,1417,-4,"OO","N219AG",3454,"BUR",109,817,12,9,"SkyWest Airlines Inc.","Bob Hope"
1,1,1215,5,1353,-2,"WN","N615SW",1049,"SJC",86,569,12,15,"Southwest Airlines Co.","Norman Y Mineta San Jose Intl"
